id,slug,short_name,full_name,website_url
U3BvcnRzYm9va05vZGU6MTA=,betonline,BetOnline,BetOnline,https://www.betonline.ag/
U3BvcnRzYm9va05vZGU6MTc=,cloudbet,Cloudbet,Cloudbet,https://www.cloudbet.com/en/
U3BvcnRzYm9va05vZGU6Mg==,bookmaker,Bookmaker,Bookmaker,http://www.bookmaker.eu/
U3BvcnRzYm9va05vZGU6MjE=,mybookie,MyBookie,MyBookie,https://mybookie.ag/
U3BvcnRzYm9va05vZGU6MjM=,fanduel,FanDuel,FanDuel,https://sportsbook.fanduel.com/
U3BvcnRzYm9va05vZGU6MjQ=,draftkings,DraftKings,DraftKings,https://sportsbook.draftkings.com/
U3BvcnRzYm9va05vZGU6MjU=,betanything,BetAnything,BetAnything,https://www.betanything.eu/
U3BvcnRzYm9va05vZGU6Mjc=,betway,Betway,Betway,https://betway.com
U3BvcnRzYm9va05vZGU6Mjg=,betus,BetUS,BetUS,https://www.betus.com.pa/
U3BvcnRzYm9va05vZGU6Mjk=,sx-bet,SXBet,SX Bet,https://sx.bet/
U3BvcnRzYm9va05vZGU6MzM=,betmgm,BetMGM,BetMGM,https://betmgm.com
U3BvcnRzYm9va05vZGU6MzQ=,caesars-sportsbook,Caesars,Caesars Sportsbook,https://www.caesars.com/sportsbook-and-casino
U3BvcnRzYm9va05vZGU6MzU=,betrivers,BetRivers,BetRivers,https://www.betrivers.com/
U3BvcnRzYm9va05vZGU6Mzg=,4casters,4casters,4casters,https://4casters.io/
U3BvcnRzYm9va05vZGU6NA==,bovada,Bovada,Bovada,http://www.bovada.lv/
U3BvcnRzYm9va05vZGU6NDI=,bet105,Bet105,Bet105,https://bet105.eu/en
U3BvcnRzYm9va05vZGU6NDQ=,circa-sports,Circa,Circa Sports,https://www.circasports.com/
U3BvcnRzYm9va05vZGU6NDc=,4cxsweeps,4Cx,4CxSweeps,https://4cx.io/
U3BvcnRzYm9va05vZGU6NDk=,stake,Stake,Stake,https://stake.com/
U3BvcnRzYm9va05vZGU6NTU=,polymarket,Polymarket,Polymarket,https://polymarket.com
U3BvcnRzYm9va05vZGU6NTY=,hard-rock-bet,HardRockBet,Hard Rock Bet,https://www.hardrock.bet/
U3BvcnRzYm9va05vZGU6NTc=,prophetx,ProphetX,ProphetX,https://www.prophetx.co/
U3BvcnRzYm9va05vZGU6OA==,pinnacle-sports,Pinnacle,Pinnacle Sports,http://www.pinnacle.com/
